Index,organism,causal_gene_name,Arabidopsis_thaliana,Glycine_max,Brassica_rapa,Solanum_lycopersicum,Oryza_sativa_Japonica,Oryza_sativa_Indica,Setaria_italica,Zea_mays,Sorghum_bicolor,Brachypodium_distachyon,Hordeum_vulgare,ortholog group,Trait,Trait_Category
63,Morning_glory,flavonoid 3-hydroxylase (F3'H),AT3G51240.1,"GLYMA02G05450.1,GLYMA02G05470.1,GLYMA16G23880.1",Bra036828.1-P,Solyc02g083860.2.1,LOC_Os04g56700.1,BGIOSGA014166-PA,Si022356m,GRMZM2G062396,Sb06g031790.1,BRADI5G25050.1,MLOC_64248.1,ENOG411BJJ5,Plant_coloration_(flowers),color_texture_flavor_and_fragrance
64,Oilseed_rape,Frigida (BnaA.FRI.a),AT4G00650.1,"GLYMA04G38071.1,GLYMA06G17005.1","Bra029192.1-P,Bra035723.1-P","Solyc12G042440.1.1,Solyc06G074450.1.1,Solyc03G117930.2.1",LOC_Os03g63440.1,BGIOSGA013955-PA,Si035611m,GRMZM2G021642,Sb01g001030.1,BRADI1G01520.1,MLOC_27941.1,ENOG410J269,Flowering_time,development
65,Oilseed_rape,FAD2 (BnaA.FAD2.a),AT3G12120.1,"GLYMA09G17170.1,GLYMA03G30070.3,GLYMA10G42470.1,GLYMA19G32940.1,GLYMA02G39230.1",Bra034777.1-P,"Solyc03g058430.1.1,Solyc01g006430.2.1,Solyc12g049030.1.1,Solyc04g040120.1.1,Solyc12g100250.1.1","LOC_Os07g23410.1,LOC_Os12g01370.1,LOC_Os02g48560.1,LOC_Os07g23430.1,LOC_Os11g01340.4","BGIOSGA037887-PA,BGIOSGA036813-PA,BGIOSGA024410-PA,BGIOSGA025568-PA,BGIOSGA005733-PA","Si026445m,Si008635m,Si017479m,Si011848m","GRMZM2G354558,GRMZM2G161792,GRMZM2G169240,GRMZM2G064701,GRMZM2G169261","Sb04g029920.1,Sb02g003840.1,Sb08g000460.1,Sb05g000400.1,Sb04g029900.1","BRADI4G45037.1,BRADI3G53370.1","MLOC_74642.1,MLOC_60549.1",ENOG410IFN9,Oil_composition_and_yield,color_texture_flavor_and_fragrance
66,Orange,Ruby,AT1G66370.1,"GLYMA09G36983.1,GLYMA19G02980.2,GLYMA09G36966.1,GLYMA18G49690.1,GLYMA09G37010.2,GLYMA18G49670.2","Bra004162.1-P,Bra039763.1-P","Solyc10g086250.1.1,Solyc10g086260.1.1,Solyc10g086270.1.1,Solyc10g086290.1.1",,,,,,,,ENOG411BRS3,"Plant_color_(fruit,_cold-dependent)",color_texture_flavor_and_fragrance
67,Pea,MLO1,AT3G45290.1,"GLYMA19G36370.2,GLYMA03G33660.2",,Solyc06G010010.1.1,,,,,,,,ENOG410IJ5H,Pathogen_resistance,biotic_stress_response
68,Pea,"flavonoid 3',5'-hydroxylase (F3'5'H)",,"GLYMA20G08160.1,GLYMA13G04210.1",,Solyc11G066580.1.1,LOC_Os03g25150,,Si035183m,GRMZM2G119067,"Sb01g034470.1,Sb01g034460.1","BRADI2G11620.1,BRADI1G61577.1",,ENOG411BNKG,Plant_coloration_(flowers),color_texture_flavor_and_fragrance
69,Pea,PsbHLH,AT4G09820.1,"GLYMA02G16670.2,GLYMA19G33770.1,GLYMA03G30940.2,GLYMA10G03140.2",Bra037887.1-P,Solyc09G065100.1.1,LOC_Os07g11020.1,BGIOSGA025388-PA,Si029106m,GRMZM2G042733,Sb02g006390.1,BRADI1G54070.1,MLOC_6900.1,ENOG410IMK5,Plant_coloration_(flowers),color_texture_flavor_and_fragrance
70,Pea,Starch branching enzyme (SBEI),"AT5G03650.1,AT3G20440.2,AT2G36390.1","GLYMA03G35020.1,GLYMA06G02051.1,GLYMA18G10385.1,GLYMA04G01950.2,GLYMA19G37750.1","Bra017241.1-P,Bra014108.1-P,Bra005269.1-P,Bra035782.1-P,Bra009521.1-P","Solyc11g008040.1.1,Solyc04g082400.2.1,Solyc09g009190.2.1,Solyc07g064830.2.1","LOC_Os04g33460.1,LOC_Os02g32660.1,LOC_Os06g51084.1,LOC_Os06g26234.1","BGIOSGA040526-PA,BGIOSGA006344-PA","Si005911m,Si009312m,Si016350m,Si021452m,Si008087m","GRMZM2G088753,GRMZM2G005298,GRMZM2G169073,GRMZM2G032628","Sb10g030773.1,Sb06g015360.1,Sb03g027310.1,Sb10g030776.1","BRADI1G41970.1,BRADI5G09170.1,BRADI3G44760.1,BRADI1G29850.1","MLOC_56800.2,MLOC_43405.2,MLOC_63722.1",KOG0470,"Starch_structure,_seed_aspect",color_texture_flavor_and_fragrance
71,Pepper,an2-like,AT1G66370.1,"GLYMA09G36983.1,GLYMA19G02980.2,GLYMA09G36966.1,GLYMA18G49690.1,GLYMA09G37010.2,GLYMA18G49670.2","Bra004162.1-P,Bra039763.1-P","Solyc10g086250.1.1,Solyc10g086260.1.1,Solyc10g086270.1.1,Solyc10g086290.1.1",,,,,,,,ENOG411BRS3,Plant_color_(fruit),color_texture_flavor_and_fragrance
72,Petunia,ODORANT1,"AT4G22680.1,AT4G12350.1","GLYMA11G03300.1,GLYMA05G03780.1,GLYMA01G42050.1,GLYMA17G14291.1","Bra019368.1-P,Bra020837.1-P,Bra013633.1-P",Solyc08G079270.2.1,LOC_Os09g36250.1,"BGIOSGA026529-PA,BGIOSGA029380-PA","Si030750m,Si015412m","GRMZM2G104551,GRMZM2G037650,GRMZM2G138427","Sb02g030900.1,Sb07g024970.1","BRADI3G42430.1,BRADI4G36210.1",MLOC_6696.1,ENOG411BEE4,Fragrance,color_texture_flavor_and_fragrance
73,Petunia,flavonoid 3-hydroxylase (F3'H),AT3G51240.1,"GLYMA02G05450.1,GLYMA02G05470.1,GLYMA16G23880.1",Bra036828.1-P,Solyc02g083860.2.1,LOC_Os04g56700.1,BGIOSGA014166-PA,Si022356m,GRMZM2G062396,Sb06g031790.1,BRADI5G25050.1,MLOC_64248.1,ENOG411BJJ5,Plant_coloration_(flowers),color_texture_flavor_and_fragrance
74,Petunia,anthocyanin2 (an2),AT1G66370.1,"GLYMA09G36983.1,GLYMA19G02980.2,GLYMA09G36966.1,GLYMA18G49690.1,GLYMA09G37010.2,GLYMA18G49670.2","Bra004162.1-P,Bra039763.1-P","Solyc10g086250.1.1,Solyc10g086260.1.1,Solyc10g086270.1.1,Solyc10g086290.1.1",,,,,,,,ENOG411BRS3,Plant_coloration_(flowers),color_texture_flavor_and_fragrance
75,Potato,an2-like (Stan2),"AT1G56650.1,AT1G66370.1,AT1G66380.1,AT1G66390.2","GLYMA07G16980.1,GLYMA18G41520.2","Bra001917.1-P,Bra004162.1-P,Bra039763.1-P",,,,,,,,,COG5147,Plant_color_(tuber_skin),color_texture_flavor_and_fragrance
76,Potato,dihydroflavonol reductase (DFR),AT5G42800.1,,Bra027457.1-P,Solyc02g085020.2.1,,,,,,,,COG0451,Plant_coloration_(tuber_skin),color_texture_flavor_and_fragrance
77,Potato,"flavonoid 3',5'-hydroxylase (F3'5'H)",,"GLYMA20G08160.1,GLYMA13G04210.1",,Solyc11G066580.1.1,LOC_Os03g25150,,Si035183m,GRMZM2G119067,"Sb01g034470.1,Sb01g034460.1","BRADI2G11620.1,BRADI1G61577.1",,ENOG411BNKG,Plant_coloration_(tuber_skin),color_texture_flavor_and_fragrance
78,Oilseed_rape,CCR1,AT5G46080.1,"GLYMA13G24330.1,GLYMA13G30810.1,GLYMA07G32240.1,GLYMA15G08470.1","Bra025041.1-P,Bra017580.1-P",Solyc10g008960.1.1,LOC_Os08g28890.1,"BGIOSGA028572-PA,BGIOSGA028571-PA",Si015751m,GRMZM2G154114,Sb07g019170.1,BRADI3G35130.1,,ENOG411BGP4,Fibre_content,color_texture_flavor_and_fragrance
79,Oilseed_rape,RPM1,AT3G07040.1,"GLYMA09G34360.2,GLYMA06G46830.1,GLYMA01G01420.1,GLYMA20G08340.1,GLYMA06G46800.2,GLYMA09G34381.1,GLYMA06G46810.1,GLYMA08G41800.2,GLYMA01G01400.1",,,"LOC_Os07g08890.1,LOC_Os04g21890.1,LOC_Os07g40810.1,LOC_Os10g21400.1,LOC_Os10g04674.1,LOC_Os04g46300.1,LOC_Os10g07534.1,LOC_Os08g32880.1,LOC_Os06g48520.1","BGIOSGA032578-PA,BGIOSGA016070-PA,BGIOSGA028698-PA,BGIOSGA023959-PA","Si009314m,Si008124m,Si005193m,Si000229m,Si031978m,Si005798m,Si028865m,Si005799m","GRMZM2G162098,GRMZM2G105428,GRMZM2G077937,GRMZM2G091672,GRMZM2G091696","Sb01g028490.1,Sb02g038425.1,Sb10g028730.1,Sb02g004900.1,Sb06g024420.1,Sb03g036150.1,Sb10g028720.1","BRADI4G14697.1,BRADI4G09247.1,BRADI5G01167.1,BRADI1G22500.1,BRADI5G17527.1","MLOC_67526.2,MLOC_1192.1,MLOC_20874.1,MLOC_56324.1,MLOC_17579.2",ENOG411BG27,Pathogen_resistance,biotic_stress_response
80,Oryza_sativa_Japonica,Waxy /GBSS,AT1G32900.1,"GLYMA07G05580.3,GLYMA10G31540.3,GLYMA16G02110.3,GLYMA20G36040.1",Bra010189.1-P,Solyc08g083320.2.1,LOC_Os06g04200,BGIOSGA022241-PA,Si006103m,GRMZM2G024993,Sb10g002140.1,BRADI1G50090.1,MLOC_64657.2,COG0297,Amylose_content_(Glutinous_rice),color_texture_flavor_and_fragrance
81,Oryza_sativa_Japonica,S5,,,,,LOC_Os06g11010.1,BGIOSGA022546-PA,,GRMZM2G370905,,,,ENOG410XNV7,F1_female_serility,development
82,Oryza_sativa_Japonica,SaM ,,,,,LOC_Os01g39680,,,,,,,,F1_male_sterility,development
83,Oryza_sativa_Japonica,SaF,AT3G49020.1,,Bra025236.1-P,,LOC_Os01g39670.1,,,,,,,ENOG411148C,F1_male_sterility,development
84,Oryza_sativa_Japonica,Ehd1 (Response regulator),,,,,LOC_Os10g32600,BGIOSGA031750-PA,Si039992m,GRMZM2G379656,Sb01g019980.1,,,COG5641,Flowering_time,development
85,Oryza_sativa_Japonica,EARLY FLOWERING 3/Hd17,AT3G21320.1,"GLYMA07G01601.1,GLYMA08G21115.1","Bra001825.1-P,Bra023887.1-P,Bra031274.1-P",Solyc06g062480.2.1,LOC_Os06g05060,BGIOSGA021953-PA,Si000440m,GRMZM2G045275,Sb03g025560.1,,,COG5641,Flowering_time,development
86,Oryza_sativa_Japonica,Hd1,"AT3G02380.1,AT5G15840.1,AT5G15850.1","GLYMA08G28370.1,GLYMA13G07030.1,GLYMA18G51320.1,GLYMA19G05170.1","Bra001043.1-P,Bra008668.1-P,Bra008669.1-P,Bra021464.1-P,Bra023541.1-P","Solyc02g089520.1.1,Solyc02g089540.2.1",LOC_Os06g16370.1,BGIOSGA022685-PA,,GRMZM2G405368,Sb10g010050.1,BRADI1G43670.1,,COG5641,Flowering_time,development
87,Oryza_sativa_Japonica,Hd6a,,,,,LOC_Os03g55389,BGIOSGA009770-PA,Si035743m,"GRMZM2G047855,GRMZM2G141903",Sb01g007270.1,BRADI1G07810.1,MLOC_55943.1,ENOG410XNPP,Flowering_time,development
88,Oryza_sativa_Japonica,se5,,,,,LOC_Os06g40080,BGIOSGA020927-PA,"Si007047m,Si008723m","AY530952.1_FGP002,GRMZM2G043277,GRMZM2G049656,GRMZM2G101004,GRMZM2G103402,GRMZM2G111802,GRMZM2G131950,GRMZM2G157936,GRMZM2G170953,GRMZM2G309145,GRMZM2G450880,GRMZM2G463449","Sb10g023510.1,Sb10g023550.1",BRADI1G36640.1,MLOC_21909.1,COG5398,Flowering_time,development
89,Oryza_sativa_Japonica,Ghd7,,,,,LOC_Os07g15770,BGIOSGA024502-PA,"Si011920m,Si039184m",GRMZM2G381691,Sb06g000570.1,,MLOC_77036.2,COG5641,"Flowering_time,_Plant_morphology_(inflorescence)",development
90,Oryza_sativa_Japonica,BADH2,"AT1G74920.1,AT3G48170.1","GLYMA05G01770.1,GLYMA06G19820.1,GLYMA17G10120.1","Bra003781.1-P,Bra019528.1-P","Solyc03g113800.2.1,Solyc06g071290.2.1",LOC_Os08g32870,BGIOSGA028697-PA,Si013592m,"GRMZM2G013214,GRMZM2G016189,GRMZM2G146754,GRMZM2G350397,GRMZM2G365483",Sb07g020650.1,BRADI3G36150.1,MLOC_1705.1,COG1012,Fragrance,color_texture_flavor_and_fragrance
91,Oryza_sativa_Japonica,Alk / Starch Synthase II,,,,,LOC_Os06g12450,BGIOSGA022586-PA,Si005900m,GRMZM2G348551,Sb10g008200.1,BRADI1G45130.1,MLOC_69670.1,COG0297,Grain_cooking_texture,other
92,Oryza_sativa_Japonica,GL3.1,"AT1G08420.1,AT2G27210.1","GLYMA11G18090.1,GLYMA11G20010.1,GLYMA12G10120.1,GLYMA12G31540.1,GLYMA13G38850.1","Bra030724.1-P,Bra031626.1-P,Bra034332.1-P","Solyc01g009280.2.1,Solyc06g073960.2.1,Solyc11g071920.1.1",LOC_Os03g44500.1,BGIOSGA010144-PA,Si034069m,GRMZM2G148539,Sb01g013460.1,BRADI1G13710.1,MLOC_37399.1,COG0639,Grain_size,development
93,Oryza_sativa_Japonica,GS3,AT5G20635.1,"GLYMA09G08131.1,GLYMA13G17071.1,GLYMA15G19631.1,GLYMA17G05640.1",,Solyc07g041980.2.1,LOC_Os09g26999.2,BGIOSGA030843-PA,Si033308m,"GRMZM2G001660,GRMZM2G172320",Sb02g025860.1,BRADI4G31417.1,,ENOG410YVBK,Grain_size,development
94,Oryza_sativa_Japonica,GS5,AT3G17180.1,"GLYMA07G36500.4,GLYMA17G04110.1,GLYMA17G04120.1",Bra021230.1-P,Solyc12g099160.1.1,LOC_Os05g06660,BGIOSGA018771-PA,Si010037m,,Sb09g004510.1,BRADI2G34850.1,,COG2939,Grain_size,development
95,Oryza_sativa_Japonica,GW2,"AT1G17145.1,AT1G78420.1","GLYMA13G33260.1,GLYMA15G39830.2","Bra008360.1-P,Bra025999.1-P,Bra035036.1-P",Solyc07g056630.2.1,LOC_Os02g14720,BGIOSGA007870-PA,Si017266m,"GRMZM2G007288,GRMZM2G170088",Sb04g008760.1,BRADI3G09270.1,MLOC_59426.1,ENOG4111M8N,Grain_size,development
96,Oryza_sativa_Japonica,OsPPKL1/qGL3,"AT1G08420.1,AT2G27210.1","GLYMA11G18090.1,GLYMA11G20010.1,GLYMA12G10120.1,GLYMA12G31540.1,GLYMA13G38850.1","Bra030724.1-P,Bra031626.1-P,Bra034332.1-P","Solyc01g009280.2.1,Solyc06g073960.2.1,Solyc11g071920.1.1",LOC_Os03g44500,BGIOSGA010144-PA,Si034069m,GRMZM2G148539,Sb01g013460.1,BRADI1G13710.1,MLOC_37399.1,COG0639,Grain_size,development
97,Oryza_sativa_Japonica,qSW5,AT3G16490.1,"GLYMA01G01030.1,GLYMA05G35920.1,GLYMA07G01760.1,GLYMA07G14910.2,GLYMA08G03710.1,GLYMA08G21430.2","Bra001633.1-P,Bra021181.1-P,Bra022163.1-P","Solyc06g066430.2.1,Solyc12g008520.1.1",LOC_Os05g09520,BGIOSGA019303-PA,,,,,,ENOG410YC0Z,Grain_size,development
98,Oryza_sativa_Japonica,OsSPL16,,,,,LOC_Os08g41940,BGIOSGA029051-PA,Si013747m,"AC233751.1_FGP002,GRMZM2G101511",Sb07g026220.1,BRADI3G41250.1,MLOC_37841.2,ENOG410YD0Z,Grain_size_and_shape,development
99,Oryza_sativa_Japonica,GRAIN INCOMPLETE FILLING 1,"AT2G36190.1,AT3G52600.1","GLYMA01G15883.1,GLYMA03G35520.1,GLYMA10G08670.2,GLYMA19G38160.1,GLYMA20G03553.1,GLYMA20G03580.2,GLYMA20G03620.2,GLYMA20G03640.2","Bra017257.1-P,Bra023053.1-P,Bra033419.1-P","Solyc09g010080.2.1,Solyc09g010090.2.1,Solyc10g083290.1.1,Solyc10g083300.1.1,Solyc10g085360.1.1,Solyc10g085640.1.1,Solyc10g085650.1.1",LOC_Os04g33740,BGIOSGA016364-PA,"Si009687m,Si009691m,Si009702m","GRMZM2G095725,GRMZM2G119689","Sb0067s002110.1,Sb0067s002130.1,Sb0067s002240.1",BRADI5G09420.1,MLOC_56998.3,COG1621,Grain_weight,development
100,Oryza_sativa_Japonica,DEP1,AT5G20635.1,"GLYMA09G08131.1,GLYMA13G17071.1,GLYMA15G19631.1,GLYMA17G05640.1",,Solyc07g041980.2.1,LOC_Os09g26999,BGIOSGA030843-PA,Si033308m,"GRMZM2G001660,GRMZM2G172320",Sb02g025860.1,BRADI4G31417.1,,ENOG410YVBK,Grain_yield,development
101,Oryza_sativa_Japonica,OsCKX2=Gn1a,"AT2G19500.1,AT4G29740.2,AT5G56970.1","GLYMA09G07190.1,GLYMA09G07206.1,GLYMA09G07360.1,GLYMA13G16420.2,GLYMA13G16430.1,GLYMA15G18560.1,GLYMA17G06220.1,GLYMA17G06230.1","Bra002777.1-P,Bra024135.1-P,Bra035640.1-P,Bra036719.1-P,Bra040677.1-P","Solyc10g017990.1.1,Solyc12g008900.1.1,Solyc12g008920.1.1",LOC_Os01g10110,BGIOSGA002195-PA,Si001500m,GRMZM2G325612,Sb03g002810.1,BRADI2G06030.1,"MLOC_53923.1,MLOC_81291.1",COG0277,Grain_yield,development
102,Oryza_sativa_Japonica,OsSPL14 / WFP,"AT2G42200.1,AT3G57920.1","GLYMA02G30670.2,GLYMA03G29901.1,GLYMA18G36960.1,GLYMA19G32800.1","Bra003305.1-P,Bra004674.1-P,Bra016891.1-P",Solyc10g078700.1.1,LOC_Os08g39890,BGIOSGA026705-PA,Si013870m,"GRMZM2G160917,GRMZM2G460544",Sb07g027740.1,BRADI3G40030.1,MLOC_61297.1,ENOG410YVZE,Grain_yield,development
103,Oryza_sativa_Japonica,heavy metal atpase3 (HMA3),"AT2G19110.1,AT4G30110.1,AT4G30120.1","GLYMA09G06166.1,GLYMA13G00630.2,GLYMA17G06800.1","Bra011164.1-P,Bra011165.1-P,Bra024103.1-P,Bra024107.1-P,Bra024449.1-P,Bra038842.1-P",Solyc07g009130.2.1,LOC_Os07g12900,BGIOSGA024568-PA,Si028881m,GRMZM2G175576,Sb02g006940.1,BRADI1G53670.1,MLOC_18862.4,COG2217,Metal_tolerance,abiotic_stress_response
104,Oryza_sativa_Japonica,Nramp aluminum transporter1,,,,,LOC_Os02g03900,BGIOSGA007187-PA,Si016841m,GRMZM2G168747,Sb04g002610.1,,,COG1914,Metal_tolerance,abiotic_stress_response
105,Oryza_sativa_Japonica,Pi-ta,,,,,LOC_Os12g18360,"BGIOSGA017858-PA,BGIOSGA035675-PA",Si028710m,,"Sb02g021226.1,Sb08g021870.1",,"MLOC_74974.5,MLOC_10360.2",ENOG410TN00,Pathogen_resistance,biotic_stress_response
106,Oryza_sativa_Japonica,Pi2 (Nbs4-Pi2),,,,,LOC_Os06g17920,BGIOSGA022713-PA,Si005773m,,"Sb10g010680.1,Sb02g001150.1",BRADI1G50407.1,MLOC_30912.2,ENOG411BMRH,Pathogen_resistance,biotic_stress_response
107,Oryza_sativa_Japonica,Pi9 (= Nbs2-Pi9),AT3G46710,,,,LOC_Os06g05359,,Si012235m,,,BRADI3G42037.1,MLOC_62179.1,ENOG411BH9E,Pathogen_resistance,biotic_stress_response
108,Oryza_sativa_Japonica,Piz-t,,,,,LOC_Os06g17900,BGIOSGA022713-PA,Si005773m,,"Sb10g010680.1,Sb02g001150.1",BRADI1G50407.1,MLOC_30912.2,ENOG411BMRH,Pathogen_resistance,biotic_stress_response
109,Oryza_sativa_Japonica,Pi36,,,,,LOC_Os08g05440.1,"BGIOSGA019666-PA,BGIOSGA018466-PA,BGIOSGA024451-PA,BGIOSGA033683-PA,BGIOSGA019665-PA,BGIOSGA033692-PA","Si025902m,Si025895m","GRMZM2G065692,GRMZM2G003755","Sb09g004240.1,Sb09g004210.1","BRADI4G44227.1,BRADI4G44575.1,BRADI4G44217.1,BRADI4G44550.2,BRADI4G09587.1,BRADI4G44603.1","MLOC_69420.13,MLOC_57619.2",ENOG411BQPB,Pathogen_resistance,biotic_stress_response
110,Oryza_sativa_Japonica,Pi37,,,,,LOC_Os01g57310,BGIOSGA004576-PA,"Si021003m,Si020996m","GRMZM2G005134,GRMZM2G443939,GRMZM2G061742,GRMZM2G003625","Sb08g002350.1,Sb08g002390.1,Sb08g002410.1",BRADI2G51807.1,MLOC_62897.1,ENOG411BEAC,Pathogen_resistance,biotic_stress_response
111,Oryza_sativa_Japonica,Pi5-1 + Pi5-2 cluster,,,,,LOC_Os09g15840,BGIOSGA030525-PA,,GRMZM2G163860,Sb02g022180.1,BRADI4G28177.1,MLOC_91.1,ENOG411BH4V,Pathogen_resistance,biotic_stress_response
112,Oryza_sativa_Japonica,Pib,,,,,LOC_Os02g57310,,Si027790m,,,BRADI2G39560.1,MLOC_17252.1,ENOG411BMEJ,Pathogen_resistance,biotic_stress_response
113,Oryza_sativa_Japonica,Pid3,,,,,LOC_Os06g22460,,,,,BRADI3G22520.1,MLOC_6570.1,ENOG411BMUP,Pathogen_resistance,biotic_stress_response
114,Oryza_sativa_Japonica,Pikm2-TS ,,,,,LOC_Os11g46200,BGIOSGA006886-PA,"Si027992m,Si028053m,Si025975m",,"Sb02g005305.1,Sb02g005210.1,Sb02g005220.1,Sb02g005280.1",,,ENOG411BQBX,Pathogen_resistance,biotic_stress_response
115,Oryza_sativa_Japonica,Pikm1-TS ,,,,,LOC_Os11g46210,"BGIOSGA007774-PA,BGIOSGA032326-PA","Si027806m,Si028056m,Si026071m,Si027964m",GRMZM2G397788,"Sb05g026940.1,Sb05g027040.1,Sb05g026970.1",BRADI1G01250.1,MLOC_69418.1,ENOG411BEI0,Pathogen_resistance,biotic_stress_response
116,Oryza_sativa_Japonica,Xa1,,,,,LOC_Os04g53160,"BGIOSGA017162-PA,BGIOSGA040546-PA",Si011905m,,"Sb09g027520.1,Sb09g027470.1",BRADI5G22187.1,MLOC_43035.1,ENOG411BGSG,Pathogen_resistance,biotic_stress_response
117,Oryza_sativa_Japonica,Xa21,AT2G35900.1,GLYMA03G36230.1,"Bra017282.1-P,Bra023040.1-P",Solyc10g081750.1.1,LOC_Os01g56470,BGIOSGA004531-PA,Si003064m,"GRMZM2G016068,GRMZM2G045550",Sb03g035880.1,BRADI2G51240.1,MLOC_8179.1,ENOG410YQ5T,Pathogen_resistance,biotic_stress_response
118,Oryza_sativa_Japonica,Xa26,,,,,LOC_Os04g13640,"BGIOSGA007774-PA,BGIOSGA032326-PA","Si027806m,Si028056m,Si026071m,Si027964m","GRMZM5G851140,GRMZM2G009770","Sb05g026940.1,Sb05g027040.1,Sb05g026970.1",BRADI1G01250.1,"MLOC_44272.1,MLOC_65155.1",ENOG410JRUT,Pathogen_resistance,biotic_stress_response
119,Oryza_sativa_Japonica,qPE9-1,AT5G20635.1,"GLYMA09G08131.1,GLYMA13G17071.1,GLYMA15G19631.1,GLYMA17G05640.1",,Solyc07g041980.2.1,LOC_Os09g26999,BGIOSGA030843-PA,Si033308m,"GRMZM2G001660,GRMZM2G172320",Sb02g025860.1,BRADI4G31417.1,,ENOG410YVBK,Plant_and_inflorescence_architecture,development
120,Oryza_sativa_Japonica,PROG1,AT5G48890.1,GLYMA08G47140.2GLYMA18G38340.1,"Bra036156.1-P,Bra037455.1-P",,LOC_Os07g05900,"BGIOSGA024803-PA,BGIOSGA035827-PA,BGIOSGA009693-PA","Si023301m,Si032699m,Si032168m,Si032424m,Si031273m","GRMZM2G013960,GRMZM2G059088,GRMZM5G888196,GRMZM2G089448","Sb01g005950.1,Sb02g003180.1,Sb02g003170.1,Sb08g021800.1","BRADI1G06420.1,BRADI4G01450.1,BRADI1G58540.1,BRADI1G58560.1,BRADI1G58550.1","MLOC_66112.1,MLOC_22475.1,MLOC_74862.2,MLOC_11235.1,MLOC_3846.1,MLOC_65371.1",ENOG410Z8PA,Plant_architecture,development
121,Oryza_sativa_Japonica,OsC1,AT5G35550.1,,Bra035532.1-P,,LOC_Os06g10350,BGIOSGA022508-PA,Si008089m,"GRMZM2G005066,GRMZM2G701063",Sb10g006700.1,,,COG5147,Plant_coloration_(loss_of_apiculus_color),color_texture_flavor_and_fragrance
122,Oryza_sativa_Japonica,Sd1 (=GA20ox-2),AT1G44090.1,"GLYMA04G38850.1,GLYMA04G42300.1,GLYMA06G12510.1,GLYMA06G16080.1,GLYMA13G09460.2,GLYMA14G25280.1",Bra014019.1-P,Solyc11g013360.1.1,LOC_Os01g66100,BGIOSGA004933-PA,Si001573m,"GRMZM2G049418,GRMZM2G368411",Sb03g041900.1,BRADI2G57027.1,MLOC_56462.1,COG3491,Plant_height,development
123,Oryza_sativa_Japonica,SKC1 =OsHKT1,,,,,LOC_Os06g48810,BGIOSGA020584-PA,Si008100m,,,BRADI1G34220.1,MLOC_13204.1,COG0168,Salt_homeostasis_and_salt_tolerance,abiotic_stress_response
124,Oryza_sativa_Japonica,Rc,AT4G09820.1,"GLYMA02G16670.2,GLYMA03G30940.2,GLYMA10G03140.2,GLYMA19G33770.1",Bra037887.1-P,Solyc09g065100.1.1,LOC_Os07g11020,BGIOSGA025388-PA,Si029106m,GRMZM2G042733,Sb02g006390.1,BRADI1G54070.1,MLOC_6900.1,ENOG4111SJN,Seed_color,color_texture_flavor_and_fragrance
125,Oryza_sativa_Japonica,Bh4,,,,,LOC_Os04g38660.1,,"Si001501m,Si012545m",,,,"MLOC_13790.2,MLOC_68132.2",COG0814,Seed_hull_color,color_texture_flavor_and_fragrance
126,Oryza_sativa_Japonica,qSH1,AT5G02030.1,"GLYMA01G25710.2,GLYMA03G17397.1,GLYMA18G41280.1","Bra005703.1-P,Bra009618.1-P,Bra028883.1-P","Solyc09g011380.2.1,Solyc10g086640.1.1",LOC_Os01g62920,BGIOSGA000492-PA,Si000753m,GRMZM2G154641,Sb03g039840.1,BRADI2G54940.1,MLOC_66099.1,ENOG410XPMQ,Seed_shattering,development
127,Oryza_sativa_Japonica,Shattering1 - OsSh1,AT1G08465.1,"GLYMA06G46560.1,GLYMA12G10210.3,GLYMA13G38750.1","Bra018624.1-P,Bra030728.1-P,Bra031629.1-P","Solyc06g073920.2.1,Solyc11g071810.1.1",LOC_Os03g44710,BGIOSGA013223-PA,,GRMZM2G074124,,BRADI1G13570.1,MLOC_70676.2,ENOG410YHWI,Seed_shattering,development
128,Oryza_sativa_Japonica,shattering4 - sh4,,GLYMA20G32540.2,,,LOC_Os04g57530,BGIOSGA014125-PA,,GRMZM2G081445,Sb06g032410.1,BRADI5G25700.1,MLOC_73110.2,ENOG410YGIR,Seed_shattering,development
129,Oryza_sativa_Japonica,OsGA20ox1,"AT1G60980.1,AT4G25420.1,AT5G07200.1,AT5G51810.1","GLYMA03G02260.1,GLYMA07G08950.1,GLYMA09G27490.1,GLYMA10G38601.1,GLYMA16G32550.2,GLYMA20G29210.1","Bra005927.1-P,Bra009285.1-P,Bra010064.1-P,Bra013890.1-P,Bra019165.1-P,Bra022565.1-P,Bra027106.1-P,Bra028277.1-P,Bra028706.1-P,Bra031467.1-P,Bra039251.1-P","Solyc01g093980.2.1,Solyc03g006880.2.1,Solyc06g035530.2.1,Solyc06g050110.1.1,Solyc09g009110.2.1,Solyc09g018410.1.1,Solyc09g018420.1.1,Solyc09g042210.1.1,Solyc10g045690.1.1,Solyc10g045770.1.1,Solyc11g072310.1.1",LOC_Os03g63970,BGIOSGA013982-PA,Si036235m,AC203966.5_FGP005,Sb01g000580.1,BRADI1G00950.1,MLOC_16059.1,COG3491,Seedling_vigor,development
130,Rockcress,BCMA3,"AT1G16400,AT1G16410",,Bra026058.1-P,,,,,,,,,ENOG410BW1A,Glucosinolate_production,biotic_stress_response
